postcode4,municipality
1011,Amsterdam
1012,Amsterdam
1013,Amsterdam
1014,Amsterdam
1015,Amsterdam
1016,Amsterdam
1017,Amsterdam
1018,Amsterdam
1019,Amsterdam
1021,Amsterdam
1022,Amsterdam
1023,Amsterdam
1024,Amsterdam
1025,Amsterdam
1026,Amsterdam
1027,Amsterdam
1028,Amsterdam
1031,Amsterdam
1032,Amsterdam
1033,Amsterdam
1034,Amsterdam
1035,Amsterdam
1036,Amsterdam
1037,Amsterdam
1041,Amsterdam
1042,Amsterdam
1043,Amsterdam
1044,Amsterdam
1045,Amsterdam
1046,Amsterdam
1047,Amsterdam
1051,Amsterdam
1052,Amsterdam
1053,Amsterdam
1054,Amsterdam
1055,Amsterdam
1056,Amsterdam
1057,Amsterdam
1058,Amsterdam
1059,Amsterdam
1060,Amsterdam
1061,Amsterdam
1062,Amsterdam
1063,Amsterdam
1064,Amsterdam
1065,Amsterdam
1066,Amsterdam
1067,Amsterdam
1068,Amsterdam
1069,Amsterdam
1071,Amsterdam
1072,Amsterdam
1073,Amsterdam
1074,Amsterdam
1075,Amsterdam
1076,Amsterdam
1077,Amsterdam
1078,Amsterdam
1079,Amsterdam
1081,Amsterdam
1082,Amsterdam
1083,Amsterdam
1086,Amsterdam
1087,Amsterdam
1091,Amsterdam
1092,Amsterdam
1093,Amsterdam
1094,Amsterdam
1095,Amsterdam
1096,Amsterdam
1097,Amsterdam
1098,Amsterdam
1099,Amsterdam
1101,Amsterdam
1102,Amsterdam
1103,Amsterdam
1104,Amsterdam
1105,Amsterdam
1106,Amsterdam
1107,Amsterdam
1108,Amsterdam
1109,Amsterdam
1381,Amsterdam
1382,Amsterdam
1383,Amsterdam
1384,Amsterdam
1117,Haarlemmermeer
1118,Haarlemmermeer
1119,Haarlemmermeer
1161,Haarlemmermeer
1165,Haarlemmermeer
1171,Haarlemmermeer
1175,Haarlemmermeer
1435,Haarlemmermeer
1436,Haarlemmermeer
1437,Haarlemmermeer
1438,Haarlemmermeer
1439,Haarlemmermeer
2064,Haarlemmermeer
2065,Haarlemmermeer
2131,Haarlemmermeer
2132,Haarlemmermeer
2133,Haarlemmermeer
2134,Haarlemmermeer
2135,Haarlemmermeer
2136,Haarlemmermeer
2141,Haarlemmermeer
2142,Haarlemmermeer
2143,Haarlemmermeer
2144,Haarlemmermeer
2151,Haarlemmermeer
2152,Haarlemmermeer
2153,Haarlemmermeer
2154,Haarlemmermeer
2155,Haarlemmermeer
2156,Haarlemmermeer
2157,Haarlemmermeer
2158,Haarlemmermeer
2165,Haarlemmermeer
1501,Zaanstad
1502,Zaanstad
1503,Zaanstad
1504,Zaanstad
1505,Zaanstad
1506,Zaanstad
1507,Zaanstad
1508,Zaanstad
1509,Zaanstad
1521,Zaanstad
1525,Zaanstad
1541,Zaanstad
1544,Zaanstad
1551,Zaanstad
1561,Zaanstad
1562,Zaanstad
1566,Zaanstad
1567,Zaanstad
1181,Amstelveen
1182,Amstelveen
1183,Amstelveen
1184,Amstelveen
1185,Amstelveen
1186,Amstelveen
1187,Amstelveen
1188,Amstelveen
1189,Amstelveen
1111,Diemen
1112,Diemen
1113,Diemen
1398,Gooise Meren
1399,Gooise Meren
1400,Gooise Meren
1401,Gooise Meren
1402,Gooise Meren
1403,Gooise Meren
1404,Gooise Meren
1405,Gooise Meren
1406,Gooise Meren
1410,Gooise Meren
1411,Gooise Meren
1412,Gooise Meren
1385,Gooise Meren
1120,Landsmeer
1121,Landsmeer
1127,Landsmeer
1510,Oostzaan
1511,Oostzaan
1140,Waterland
1141,Waterland
1145,Waterland
1150,Waterland
1151,Waterland
1152,Waterland
1153,Waterland
1154,Waterland
1155,Waterland
1156,Waterland
1452,Waterland
1454,Waterland
1482,Waterland
